contribution	rho	eta	metric	estimate	se	lower	upper	n
access	1.0	0.03	broker_net_output_per_requested_position	0.14039572720332014	0.012933315643230105	0.11332598645878425	0.16746546794785602	20
access	1.0	0.03	broker_selected_rank	0.0013374195342943985	0.003203386146759265	-0.00536734472643109	0.008042183795019888	20
access	1.0	0.03	mean_degree	1.3638899999999998	0.41566490664134487	0.4938933518262807	2.233886648173719	20
access	1.0	0.03	net_output_per_requested_position	0.16124833080338336	0.0112113912457403	0.13778261924266616	0.18471404236410055	20
access	1.0	0.03	outsourcing_rate	0.041662285683332016	0.014498815274616338	0.0113159165531374	0.07200865481352664	20
access	1.0	0.03	q_gap	0.2521517328823693	0.0840765340954569	0.07617752460929761	0.428125941155441	20
access	1.0	0.03	rank_gap	0.039866594746716714	0.0059579349969345	0.02739649348353171	0.05233669600990172	20
access	1.0	0.03	self_fill_rate	-0.003021612506778426	0.001921438208249539	-0.007043228895703914	0.0010000038821470626	20
access	1.0	0.03	self_net_output_per_requested_position	-0.11806935610395763	0.08070902436492342	-0.2869952855075687	0.05085657329965343	20
assessment	0.0	0.0	access_fraction	-0.00525750199593802	0.0010016470647667946	-0.007353973396522399	-0.003161030595353641	20
assessment	0.0	0.0	agent_holdout_rank	-0.06910130863039401	0.00546760683630784	-0.08054514125883364	-0.05765747600195439	20
assessment	0.0	0.0	betweenness	0.03730930069734008	0.013847478306955712	0.008326195507984517	0.06629240588669563	20
assessment	0.0	0.0	broker_fill_rate	0.001760946059209395	0.00032085392650354306	0.0010893910730861234	0.0024325010453326665	20
assessment	0.0	0.0	broker_holdout_rank	-0.07047395403377107	0.01972660884224275	-0.11176222085248881	-0.029185687215053338	20
assessment	0.0	0.0	broker_net_output_per_requested_position	-0.01579803627500569	0.013463956765885046	-0.0439784216535166	0.012382349103505219	20
assessment	0.0	0.0	broker_selected_rank	-0.01606866004868975	0.002170963861714356	-0.02061253963250905	-0.011524780464870446	20
assessment	0.0	0.0	mean_degree	2.056797500000001	1.728558391198448	-1.5611167922276796	5.674711792227681	20
assessment	0.0	0.0	net_output_per_requested_position	0.039386630524872235	0.0032552339757780046	0.03257334751084168	0.04619991353890279	20
assessment	0.0	0.0	outsourcing_rate	0.12780739297178503	0.008670532401580373	0.10965976009075067	0.14595502585281941	20
assessment	0.0	0.0	q_gap	-0.16235325180826635	0.03633908728100444	-0.2384118356026517	-0.086294668013881	20
assessment	0.0	0.0	rank_gap	-0.0013726454033770985	0.020258462375195695	-0.04377409445998739	0.041028803653233185	20
assessment	0.0	0.0	self_fill_rate	0.00016264022300102599	3.6891769391870814e-5	8.542486225415615e-5	0.0002398555837478958	20
assessment	0.0	0.0	self_net_output_per_requested_position	0.14613119268667335	0.023658638798480302	0.09661309258689638	0.19564929278645032	20
assessment	0.0	0.01	access_fraction	-0.05427448088191328	0.003506650833334018	-0.061613985426492324	-0.04693497633733423	20
